Species,Colony,"Proportion of fragments bleached, %",Mean,mor_norm,mig_norm,combined,CombinedInverted,Ranking,Heat tolerance
A. digitifera,D02,0,-41.23445162374277,1,1,2,2,1,High
A. digitifera,D29,0,-39.62029857582347,1,0.977135802748875,1.977135802748875,1.977135802748875,2,High
A. digitifera,D15,0,-39.12485032780235,1,0.9701178644653391,1.970117864465339,1.970117864465339,3,High
A. digitifera,D40,0,-38.62713472642515,1,0.9630678095157668,1.9630678095157668,1.9630678095157668,4,High
A. digitifera,D13,0,-38.04478619631702,1,0.9548189438468897,1.9548189438468897,1.9548189438468897,5,High
A. digitifera,D35,0,-38.020170328385134,1,0.9544702643578984,1.9544702643578984,1.9544702643578984,6,High
A. digitifera,D08,0,-37.8387046822042,1,0.9518998350334102,1.9518998350334102,1.9518998350334102,7,High
A. digitifera,D06,0,-35.49980252499203,1,0.9187696926701971,1.9187696926701971,1.9187696926701971,8,High
A. digitifera,D20,0,-35.20440695812124,1,0.9145854658295343,1.9145854658295343,1.9145854658295343,9,Intermediate
A. digitifera,D24,0,-33.59256477121302,1,0.8917540015228135,1.8917540015228136,1.8917540015228136,10,Intermediate
A. digitifera,D14,0,-33.543334620604895,1,0.8910566649997015,1.8910566649997014,1.8910566649997014,11,Intermediate
A. digitifera,D32,0,-33.181923541808594,1,0.8859373399115431,1.885937339911543,1.885937339911543,12,Intermediate
A. digitifera,D33,0,-33.00448351157403,1,0.883423932736952,1.883423932736952,1.883423932736952,13,Intermediate
A. digitifera,D36,0,-32.96835253964499,1,0.8829121438021137,1.8829121438021137,1.8829121438021137,14,Intermediate
A. digitifera,D28,0,-31.996840401352507,1,0.8691508432919703,1.8691508432919703,1.8691508432919703,15,Intermediate
A. digitifera,D16,0,-29.955430082422986,1,0.8402346210894645,1.8402346210894645,1.8402346210894645,16,Intermediate
A. digitifera,D26,0,-29.479803858087955,1,0.8334974583247428,1.8334974583247428,1.8334974583247428,17,Intermediate
A. digitifera,D30,0,-27.92493935047164,1,0.8114730729377816,1.8114730729377815,1.8114730729377817,18,Intermediate
A. digitifera,D31,0,-27.11885557915762,1,0.8000550364808224,1.8000550364808223,1.8000550364808223,19,Intermediate
A. digitifera,D25,0,-26.345941462694253,1,0.7891068424172066,1.7891068424172065,1.7891068424172065,20,Intermediate
A. digitifera,D38,12.5,-33.35274460096753,0.875,0.8883569905117701,1.76335699051177,1.76335699051177,21,Intermediate
A. digitifera,D09,0,-24.402907792045202,1,0.7615841083316354,1.7615841083316353,1.7615841083316355,22,Intermediate
