Species,Start of experiment,Date,Day elapsed,Colony,Treatment,N fragment,Bleached fragments,Healthy fragments,percent.mor
A. digitifera,28-Oct-21,07-Nov-21,10,ADIG01,Heat-stressed,8,0,8,0
A. digitifera,28-Oct-21,07-Nov-21,10,ADIG02,Heat-stressed,8,0,8,0
A. digitifera,28-Oct-21,07-Nov-21,10,ADIG03,Heat-stressed,8,0,8,0
A. digitifera,28-Oct-21,07-Nov-21,10,ADIG04,Heat-stressed,7,0,7,0
A. digitifera,28-Oct-21,07-Nov-21,10,ADIG05,Heat-stressed,8,0,8,0
A. digitifera,28-Oct-21,07-Nov-21,10,ADIG06,Heat-stressed,8,0,8,0
A. digitifera,28-Oct-21,07-Nov-21,10,ADIG07,Heat-stressed,7,0,7,0
A. digitifera,28-Oct-21,07-Nov-21,10,ADIG08,Heat-stressed,8,0,8,0
A. digitifera,28-Oct-21,07-Nov-21,10,ADIG09,Heat-stressed,8,0,8,0
A. digitifera,28-Oct-21,07-Nov-21,10,ADIG10,Heat-stressed,8,0,8,0
A. digitifera,28-Oct-21,07-Nov-21,10,ADIG11,Heat-stressed,8,0,8,0
A. digitifera,28-Oct-21,07-Nov-21,10,ADIG12,Heat-stressed,8,0,8,0
A. digitifera,28-Oct-21,07-Nov-21,10,ADIG13,Heat-stressed,8,0,8,0
A. digitifera,28-Oct-21,07-Nov-21,10,ADIG14,Heat-stressed,8,0,8,0
A. digitifera,28-Oct-21,07-Nov-21,10,ADIG15,Heat-stressed,8,0,8,0
A. digitifera,28-Oct-21,07-Nov-21,10,ADIG16,Heat-stressed,8,0,8,0
A. digitifera,28-Oct-21,07-Nov-21,10,ADIG17,Heat-stressed,8,0,8,0
A. digitifera,28-Oct-21,07-Nov-21,10,ADIG18,Heat-stressed,8,0,8,0
A. digitifera,28-Oct-21,07-Nov-21,10,ADIG19,Heat-stressed,8,1,7,12.5
A. digitifera,28-Oct-21,07-Nov-21,10,ADIG20,Heat-stressed,8,0,8,0
A. digitifera,28-Oct-21,07-Nov-21,10,ADIG21,Heat-stressed,8,0,8,0
A. digitifera,28-Oct-21,07-Nov-21,10,ADIG22,Heat-stressed,8,0,8,0
A. digitifera,28-Oct-21,07-Nov-21,10,ADIG23,Heat-stressed,8,0,8,0
A. digitifera,28-Oct-21,07-Nov-21,10,ADIG24,Heat-stressed,8,0,8,0
A. digitifera,28-Oct-21,07-Nov-21,10,ADIG25,Heat-stressed,8,0,8,0
A. digitifera,28-Oct-21,07-Nov-21,10,ADIG26,Heat-stressed,8,0,8,0
A. digitifera,28-Oct-21,07-Nov-21,10,ADIG27,Heat-stressed,8,0,8,0
A. digitifera,28-Oct-21,07-Nov-21,10,ADIG28,Heat-stressed,8,0,8,0
A. digitifera,28-Oct-21,07-Nov-21,10,ADIG29,Heat-stressed,8,0,8,0
A. digitifera,28-Oct-21,07-Nov-21,10,ADIG30,Heat-stressed,8,0,8,0
A. digitifera,28-Oct-21,07-Nov-21,10,ADIG31,Heat-stressed,8,0,8,0
A. digitifera,28-Oct-21,07-Nov-21,10,ADIG32,Heat-stressed,8,0,8,0
A. digitifera,28-Oct-21,07-Nov-21,10,ADIG33,Heat-stressed,8,0,8,0
A. digitifera,28-Oct-21,07-Nov-21,10,ADIG34,Heat-stressed,8,0,8,0
A. digitifera,28-Oct-21,07-Nov-21,10,ADIG35,Heat-stressed,8,0,8,0
A. digitifera,28-Oct-21,07-Nov-21,10,ADIG36,Heat-stressed,8,0,8,0
A. digitifera,28-Oct-21,07-Nov-21,10,ADIG37,Heat-stressed,8,0,8,0
A. digitifera,28-Oct-21,07-Nov-21,10,ADIG38,Heat-stressed,8,0,8,0
A. digitifera,28-Oct-21,07-Nov-21,10,ADIG39,Heat-stressed,8,0,8,0
A. digitifera,28-Oct-21,07-Nov-21,10,ADIG40,Heat-stressed,8,0,8,0
A. millepora,06-Oct-21,16-Oct-21,10,AMIL01,Heat-stressed,8,0,8,0
A. millepora,06-Oct-21,16-Oct-21,10,AMIL02,Heat-stressed,8,1,7,12.5
A. millepora,06-Oct-21,16-Oct-21,10,AMIL03,Heat-stressed,8,0,8,0
A. millepora,06-Oct-21,16-Oct-21,10,AMIL04,Heat-stressed,8,0,8,0
A. millepora,06-Oct-21,16-Oct-21,10,AMIL05,Heat-stressed,8,3,5,37.5
A. millepora,06-Oct-21,16-Oct-21,10,AMIL06,Heat-stressed,8,3,5,37.5
A. millepora,06-Oct-21,16-Oct-21,10,AMIL07,Heat-stressed,8,1,7,12.5
A. millepora,06-Oct-21,16-Oct-21,10,AMIL08,Heat-stressed,8,0,8,0
A. millepora,06-Oct-21,16-Oct-21,10,AMIL09,Heat-stressed,8,0,8,0
A. millepora,06-Oct-21,16-Oct-21,10,AMIL10,Heat-stressed,8,4,4,50
A. millepora,06-Oct-21,16-Oct-21,10,AMIL11,Heat-stressed,8,5,3,62.5
A. millepora,06-Oct-21,16-Oct-21,10,AMIL12,Heat-stressed,8,4,4,50
A. millepora,06-Oct-21,16-Oct-21,10,AMIL13,Heat-stressed,8,1,7,12.5
A. millepora,06-Oct-21,16-Oct-21,10,AMIL14,Heat-stressed,8,0,8,0
A. millepora,06-Oct-21,16-Oct-21,10,AMIL15,Heat-stressed,8,0,8,0
A. millepora,06-Oct-21,16-Oct-21,10,AMIL16,Heat-stressed,8,0,8,0
A. millepora,06-Oct-21,16-Oct-21,10,AMIL17,Heat-stressed,8,0,8,0
A. millepora,06-Oct-21,16-Oct-21,10,AMIL18,Heat-stressed,8,0,8,0
A. millepora,06-Oct-21,16-Oct-21,10,AMIL19,Heat-stressed,8,0,8,0
A. millepora,06-Oct-21,16-Oct-21,10,AMIL20,Heat-stressed,8,3,5,37.5
A. millepora,06-Oct-21,16-Oct-21,10,AMIL21,Heat-stressed,8,0,8,0
A. millepora,06-Oct-21,16-Oct-21,10,AMIL22,Heat-stressed,8,1,7,12.5
A. millepora,06-Oct-21,16-Oct-21,10,AMIL23,Heat-stressed,8,3,5,37.5
A. millepora,06-Oct-21,16-Oct-21,10,AMIL24,Heat-stressed,8,0,8,0
A. millepora,06-Oct-21,16-Oct-21,10,AMIL25,Heat-stressed,8,2,6,25
A. millepora,06-Oct-21,16-Oct-21,10,AMIL26,Heat-stressed,8,0,8,0
A. millepora,06-Oct-21,16-Oct-21,10,AMIL27,Heat-stressed,8,6,2,75
A. millepora,06-Oct-21,16-Oct-21,10,AMIL28,Heat-stressed,8,1,7,12.5
A. millepora,06-Oct-21,16-Oct-21,10,AMIL29,Heat-stressed,8,0,8,0
A. millepora,06-Oct-21,16-Oct-21,10,AMIL30,Heat-stressed,8,1,7,12.5
A. tenuis,14-Nov-21,24-Nov-21,10,ATEN01,Heat-stressed,8,8,0,100
A. tenuis,14-Nov-21,24-Nov-21,10,ATEN02,Heat-stressed,8,3,5,37.5
A. tenuis,14-Nov-21,24-Nov-21,10,ATEN03,Heat-stressed,8,0,8,0
A. tenuis,14-Nov-21,24-Nov-21,10,ATEN04,Heat-stressed,8,8,0,100
A. tenuis,14-Nov-21,24-Nov-21,10,ATEN05,Heat-stressed,8,0,8,0
A. tenuis,14-Nov-21,24-Nov-21,10,ATEN06,Heat-stressed,8,4,4,50
A. tenuis,14-Nov-21,24-Nov-21,10,ATEN10,Heat-stressed,8,1,7,12.5
A. tenuis,14-Nov-21,24-Nov-21,10,ATEN11,Heat-stressed,8,3,5,37.5
A. tenuis,14-Nov-21,24-Nov-21,10,ATEN12,Heat-stressed,8,4,4,50
A. tenuis,14-Nov-21,24-Nov-21,10,ATEN13,Heat-stressed,8,0,8,0
A. tenuis,14-Nov-21,24-Nov-21,10,ATEN14,Heat-stressed,8,0,8,0
A. tenuis,14-Nov-21,24-Nov-21,10,ATEN15,Heat-stressed,8,7,1,87.5
A. tenuis,14-Nov-21,24-Nov-21,10,ATEN16,Heat-stressed,8,2,6,25
A. tenuis,14-Nov-21,24-Nov-21,10,ATEN17,Heat-stressed,8,1,7,12.5
A. tenuis,14-Nov-21,24-Nov-21,10,ATEN18,Heat-stressed,8,0,8,0
A. tenuis,14-Nov-21,24-Nov-21,10,ATEN19,Heat-stressed,7,0,7,0
